param,open-search,class,description,type,astraea_eod_mapping,astraea_eod_query,aws_eos_mapping,aws_eos_query,creodias_mapping,creodias_query,earth_search_cog_mapping,earth_search_cog_query,earth_search_mapping,earth_search_query,mundi_mapping,mundi_query,onda_mapping,onda_query,peps_mapping,peps_query,scihub_mapping,scihub_query,sobloo_mapping,sobloo_query,theia_mapping,theia_query,usgs_mapping,usgs_query,usgs_satapi_aws_mapping,usgs_satapi_aws_query,wekeo_mapping,wekeo_query
maximumIncidenceAngle,yes,,,,,,,,,,,,,,eo:maximumIncidenceAngle/text(),,,,,,,,,,$.properties.maximumIncidenceAngle,,,,,,,
minimumIncidenceAngle,yes,,,,,,,,,,,,,,eo:minimumIncidenceAngle/text(),,,,,,,,,,$.properties.minimumIncidenceAngle,,,,,,,
modificationDate,yes,,,,,,,,$.properties.updated,,,,,,ns:updated/text(),,,,$.properties.updated,,,,,,$.properties.modificationDate,,,,,,,
orbitDirection,yes,,,,"$.properties.""sat:orbit_state""",,,,$.properties.orbitDirection,orbitDirection,"$.properties.""sat:orbit_state""",,"$.properties.""sat:orbit_state""",,eo:orbitDirection/text(),,$.orbitDirection,,$.properties.orbitDirection,orbitDirection,,,$.data.orbit.direction,,,,,,"$.properties.""sat:orbit_state""",,,
orbitNumber,yes,,,,"$.properties.""sat:relative_orbit""",,,,$.properties.orbitNumber,orbitNumber,"$.properties.""sat:relative_orbit""",,"$.properties.""sat:relative_orbit""",,eo:orbitNumber/text(),,$.orbitNumber,,$.properties.orbitNumber,orbitNumber,,,$.data.orbit.number,,$.properties.orbitNumber,,,,"$.properties.""sat:relative_orbit""",,,
orbitType,yes,OpenSearch Parameters for Collection Search,"A string identifying the platform orbit type (e.g. LEO, GEO)",String,,,,,,,,,,,eo:orbitType/text(),,,,,,,,,,,,,,,,,
orderLink,,,,,,,,,,,,,,,,,https://catalogue.onda-dias.eu/dias-catalogue/Products({uid})/Ens.Order,,,,,,,,,,,,,,,
organisationName,yes,Additional INSPIRE obligated OpenSearch Parameters for Collection Search,A string identifying the name of the organization responsible for the resource,String,,,,,$.properties.organisationName,organisationName,,,,,dc:creator/text(),,,,$.properties.organisationName,organisationName,,,,,$.properties.organisationName,,,,,,,
organisationRole,yes,Additional INSPIRE obligated OpenSearch Parameters for Collection Search,The function performed by the responsible party,String ,,,,,,,,,,,eo:organisationRole/text(),,,,,,,,,,,,,,,,,
otherConstraint,yes,Additional INSPIRE obligated OpenSearch Parameters for Collection Search,Other restrictions and legal prerequisites for accessing and using the resource or metadata.,String,,,,,,,,,,,dc:rights/text(),,,,,,,,,,,,,,,,,
