collection,constellation,processing:level,aws_eos,cop_ads,cop_cds,cop_dataspace,cop_ewds,cop_marine,creodias,creodias_s3,dedl,dedt_lumi,dedt_mn5,earth_search,earth_search_gcs,ecmwf,eumetsat_ds,fedeo_ceda,geodes,geodes_s3,hydroweb_next,meteoblue,peps,planetary_computer,sara,usgs,usgs_satapi_aws,wekeo_cmems,wekeo_ecmwf,wekeo_main
DT_CLIMATE_ADAPTATION,Digital Twin,,,,,,,,,,available,available,,,,,,,,,,,,,,,,,,
DT_CLIMATE_G1_CMIP6_HIST_ICON_R1,Digital Twin,,,,,,,,,,,available,,,,,,,,,,,,,,,,,,
DT_CLIMATE_G1_CMIP6_HIST_IFS_FESOM_R1,Digital Twin,,,,,,,,,,,available,,,,,,,,,,,,,,,,,,
DT_CLIMATE_G1_CMIP6_HIST_IFS_NEMO_R1,Digital Twin,,,,,,,,,,,available,,,,,,,,,,,,,,,,,,
DT_CLIMATE_G1_HIGHRESMIP_CONT_IFS_FESOM_R1,Digital Twin,,,,,,,,,,,,available,,,,,,,,,,,,,,,,,
DT_CLIMATE_G1_HIGHRESMIP_CONT_IFS_NEMO_R1,Digital Twin,,,,,,,,,,,available,,,,,,,,,,,,,,,,,,
DT_CLIMATE_G1_SCENARIOMIP_SSP3_7_0_ICON_R1,Digital Twin,,,,,,,,,,,available,,,,,,,,,,,,,,,,,,
DT_CLIMATE_G1_SCENARIOMIP_SSP3_7_0_IFS_FESOM_R1,Digital Twin,,,,,,,,,,,,available,,,,,,,,,,,,,,,,,
DT_CLIMATE_G1_SCENARIOMIP_SSP3_7_0_IFS_FESOM_R2,Digital Twin,,,,,,,,,,,available,,,,,,,,,,,,,,,,,,
DT_CLIMATE_G1_SCENARIOMIP_SSP3_7_0_IFS_NEMO_R1,Digital Twin,,,,,,,,,,,available,,,,,,,,,,,,,,,,,,
DT_CLIMATE_G1_STORY_NUDGING_CONT_IFS_FESOM_R1,Digital Twin,,,,,,,,,,,available,,,,,,,,,,,,,,,,,,
DT_CLIMATE_G1_STORY_NUDGING_HIST_IFS_FESOM_R1,Digital Twin,,,,,,,,,,,available,,,,,,,,,,,,,,,,,,
DT_CLIMATE_G1_STORY_NUDGING_TPLUS2_0K_IFS_FESOM_R1,Digital Twin,,,,,,,,,,,available,,,,,,,,,,,,,,,,,,
DT_EXTREMES,Digital Twin,,,,,,,,,,available,available,,,,,,,,,,,,,,,,,,
EEA_HRL_TCF,Sentinel-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,available
EFAS_FORECAST,CEMS,,,,,,available,,,,available,,,,,,,,,,,,,,,,,,,
EFAS_HISTORICAL,CEMS,,,,,,available,,,,available,,,,,,,,,,,,,,,,,,,
EFAS_REFORECAST,CEMS,,,,,,available,,,,available,,,,,,,,,,,,,,,,,,,
EFAS_SEASONAL,CEMS,,,,,,available,,,,available,,,,,,,,,,,,,,,,,,,
EFAS_SEASONAL_REFORECAST,CEMS,,,,,,available,,,,available,,,,,,,,,,,,,,,,,,,
ERA5_LAND,ERA5,,,,available,,,,,,available,,,,,,,,,,,,,,,,,,available,
